"","Taxa 1","Taxa 2","Taxa 3","Taxa 4","Taxa 5","Taxa 6","Taxa 7","Taxa 8","Taxa 9","Taxa 10","Taxa 11","Taxa 12","Taxa 13","Taxa 14","Taxa 15","Taxa 16","Taxa 17","Taxa 18","Taxa 19","Taxa 20","Taxa 21"
"Sample 1",3478,3364,3150,1671,1500,916,538,397,344,316,289,275,264,236,228,189,175,154,143,116,686
"Sample 2",3167,3116,2855,2144,1983,1934,914,841,456,426,328,310,309,308,292,252,221,218,217,211,2335
"Sample 3",4836,4231,3020,2874,1746,1678,1669,1535,1428,1416,822,520,495,492,386,272,256,225,199,190,1932
"Sample 4",4628,4143,3786,2075,753,676,633,498,464,430,429,405,321,279,222,182,161,153,132,125,1436
"Sample 5",2047,2028,1706,1581,1575,1502,865,725,688,571,473,466,298,290,257,244,225,205,192,157,2544
"Sample 6",2426,1907,1788,1501,1302,1156,1083,1069,866,854,763,685,542,488,403,403,296,282,282,235,3229
"Sample 7",4941,3217,2605,2485,1796,1330,938,884,624,577,561,484,394,385,332,307,268,206,161,143,1905
"Sample 8",3347,3149,3119,3052,2960,1787,1520,1330,640,499,436,428,367,362,257,222,196,184,179,171,2367
"Sample 9",5500,1899,1765,1645,1392,1244,807,615,452,450,257,238,213,201,193,184,110,107,106,105,1310
"Sample 10",3524,2380,1886,1809,1231,1012,942,746,646,518,425,398,311,298,234,210,192,190,183,179,1796
"Sample 11",2850,2515,2510,2400,1944,1485,1381,1338,1137,760,669,556,460,432,379,362,356,317,273,253,3104
"Sample 12",2358,1798,1776,1411,961,954,665,468,365,285,237,215,197,194,189,186,178,136,134,119,1501
"Sample 13",5454,4002,3593,2281,1240,1208,1172,811,538,332,331,309,284,282,186,185,185,179,150,129,1497
"Sample 14",5858,4271,3062,1038,1030,778,565,528,507,485,437,400,334,283,270,233,172,142,137,136,1665
"Sample 15",8257,5495,2333,1642,1263,1132,704,571,467,467,457,443,432,414,400,390,342,328,319,284,4126
"Sample 16",1399,1205,1128,903,686,685,642,403,348,315,211,156,153,140,133,125,123,114,112,107,1317
"Sample 17",6447,4459,1838,870,706,550,368,363,333,223,211,206,198,127,121,105,99,92,90,86,1183
"Sample 18",4386,2926,2801,1430,1407,785,757,665,612,574,539,434,322,308,304,226,219,218,203,188,2029
"Sample 19",6960,6693,5045,2138,1071,682,675,587,577,569,500,455,431,414,343,314,276,261,258,233,2528
"Sample 20",8872,5171,4175,3046,2843,2554,2440,921,845,794,629,608,489,441,393,330,256,235,208,204,2548
"Sample 21",5702,4731,3733,3306,1513,1209,816,688,386,324,305,280,252,226,222,195,185,151,150,138,1551
"Sample 22",4812,2796,2418,2402,1638,1568,1170,1011,811,537,537,400,396,370,290,284,274,262,248,219,2817
"Sample 23",5617,5015,3966,3941,2642,2426,1377,1057,602,534,469,452,445,399,368,347,316,301,273,225,3107
"Sample 24",2804,2235,2012,1734,1250,1227,833,696,582,423,393,378,316,309,244,242,231,220,191,165,2289
