"","Taxa 1","Taxa 2","Taxa 3","Taxa 4","Taxa 5","Taxa 6","Taxa 7","Taxa 8","Taxa 9","Taxa 10","Taxa 11","Taxa 12","Taxa 13","Taxa 14","Taxa 15","Taxa 16","Taxa 17","Taxa 18","Taxa 19","Taxa 20","Taxa 21"
"Sample 1",1727,865,523,262,221,152,134,126,122,120,118,81,73,62,50,48,46,32,29,29,167
"Sample 2",10932,8117,3760,1229,937,571,560,455,405,237,219,184,177,157,129,126,101,90,86,65,844
"Sample 3",11302,3029,2054,1966,1690,814,712,595,546,412,399,317,280,270,153,144,143,118,99,81,936
"Sample 4",4965,4816,3456,1491,1109,632,617,530,468,443,407,389,381,342,258,236,230,185,182,109,1340
"Sample 5",5453,1991,1504,1136,924,867,696,675,612,533,431,338,287,277,176,137,132,119,101,90,1143
"Sample 6",4579,4550,4329,2071,1863,1135,1125,904,833,737,686,680,518,458,357,330,243,226,180,175,2127
"Sample 7",5563,959,626,602,568,555,355,353,342,272,179,109,102,86,80,75,73,54,50,40,633
"Sample 8",10399,3780,1697,1135,847,714,646,619,526,269,237,163,126,93,87,74,56,51,46,44,671
"Sample 9",5981,5805,1075,829,724,663,508,437,324,187,141,130,93,75,70,61,54,52,51,46,593
"Sample 10",13618,4975,2777,1776,1596,1503,1304,907,821,768,520,484,357,276,216,177,132,130,121,106,1272
"Sample 11",9702,2201,1188,1072,840,802,673,626,622,610,532,525,482,454,356,311,277,271,259,243,3492
"Sample 12",8659,3062,2533,2030,1323,1029,964,932,776,490,388,304,293,284,201,142,131,120,110,108,1239
"Sample 13",11104,3299,1946,1349,1218,971,969,721,717,625,446,440,266,218,213,210,104,94,65,58,928
"Sample 14",8340,6797,5801,2276,1764,1149,1134,1073,653,629,561,389,369,278,272,244,230,216,172,103,886
"Sample 15",12773,3039,1659,1198,1084,974,743,695,577,280,184,184,142,116,90,90,77,71,70,67,856
"Sample 16",17612,727,600,351,219,147,115,111,108,67,56,49,47,39,36,26,26,26,24,23,361
"Sample 17",3511,280,186,116,96,88,56,46,31,20,19,19,17,16,14,13,12,11,9,7,93
"Sample 18",8276,4122,2435,2321,606,592,458,255,236,206,201,188,155,146,140,88,85,83,80,50,603
"Sample 19",2134,1531,667,266,242,232,180,179,136,116,50,46,39,34,32,29,26,20,18,16,188
"Sample 20",6921,2609,1775,1164,813,732,709,682,541,457,448,446,326,162,139,79,75,73,72,71,751
"Sample 21",1525,1502,1388,1237,1205,1026,508,433,389,259,161,159,124,114,113,106,102,99,90,89,1004
"Sample 22",6819,6499,3928,3586,1729,1565,1178,1053,976,901,602,472,423,415,410,356,328,312,240,237,1110
"Sample 23",17140,2232,632,572,354,310,297,294,288,242,224,216,166,114,94,86,84,64,60,48,631
