"","Bacteroides","Lachnospiracea_incertae_sedis","Faecalibacterium","Prevotella","unclassified_Lachnospiraceae","unclassified_Ruminococcaceae","Alistipes","unclassified_Bacteria","Blautia","unclassified_Clostridiales","Akkermansia","Parabacteroides","Clostridium XI","unclassified_Proteobacteria","Ruminococcus","Staphylococcus","Phascolarctobacterium","Oscillibacter","Roseburia","Barnesiella","unclassified_Alphaproteobacteria","Parasutterella","Clostridium IV","Dorea","unclassified_Erysipelotrichaceae","Coprococcus","Paraprevotella","unclassified_Firmicutes","Other"
"Subject 1",4110,1123,898,4,461,15449,102,525,498,575,70,235,186,4,0,0,23,374,58,7,0,0,27,99,43,88,10,22,115
"Subject 2",24049,1200,482,0,1526,2335,326,869,462,454,42,514,151,73,0,0,20,75,381,25,91,3,15,102,143,124,754,269,316
"Subject 3",8334,781,982,0,2264,762,175,705,150,106,1,224,16,355,0,0,225,206,254,51,100,10,167,29,8,165,319,17,670
"Subject 4",6445,945,1878,185,2294,1461,478,1589,212,472,6,352,43,371,0,0,285,1375,184,392,49,28,538,42,40,121,57,218,1145
"Subject 5",7008,655,829,1,1641,1109,191,412,169,132,0,215,19,5,0,0,122,196,124,72,15,18,124,46,9,126,430,224,440
"Subject 6",9623,2485,2025,0,1124,288,81,324,298,139,0,231,0,89,0,0,148,315,467,62,62,199,17,34,1,20,1017,3,213
"Subject 7",7655,1434,2767,0,1872,665,1020,655,271,343,3,706,116,37,138,0,332,323,369,135,2,36,1198,317,3,30,431,14,903
"Subject 8",6101,1176,2825,0,2365,406,409,2303,304,231,53,774,74,1185,819,0,160,312,375,45,0,51,708,165,0,52,803,119,880
"Subject 9",15629,1350,2908,0,1388,2306,1339,2781,316,1035,951,971,24,14,0,0,59,128,223,100,2,12,17,111,68,23,2507,568,1022
"Subject 10",22726,1391,397,0,2035,1191,582,1489,386,627,1,1028,97,3393,0,0,36,110,510,189,356,6,8,120,129,125,457,186,609
"Subject 11",19339,2034,1069,1,3419,1498,938,1555,479,1075,23,955,229,639,0,0,87,217,1039,280,308,18,186,286,274,300,773,284,797
"Subject 12",2320,743,1797,3,662,222,247,378,369,121,0,129,9,44,315,0,59,205,58,37,0,3,559,70,0,25,529,30,335
"Subject 13",1250,1361,12,0,891,1553,60,2041,377,482,14,66,576,2,4,0,0,45,3,0,0,0,9,86,141,263,0,271,2513
"Subject 14",219,1216,7,4,436,374,27,325,1082,285,1,33,5411,0,3,0,0,5,5,0,0,0,7,97,283,187,0,37,3688
"Subject 15",1299,784,57,4,171,1541,62,1392,28,1502,31,54,153,0,203,0,0,158,16,32,0,1,16,13,17,24,0,197,535
"Subject 16",613,1271,37,0,455,4722,237,881,66,4940,161,121,98,0,125,2,0,641,12,61,0,5,19,7,24,61,0,98,890
"Subject 17",944,122,11,12,81,765,114,1587,12,669,92,94,486,0,38,0,0,38,3,1,0,0,14,2,34,21,1,398,1282
"Subject 18",15202,1421,2662,2,2289,740,835,459,411,20,9,693,15,0,314,0,144,374,398,613,56,8,3,18,7,62,814,26,1011
"Subject 19",10864,988,342,3,788,94,72,87,47,1,0,89,1,0,41,0,20,6,57,79,563,1,1,3,0,5,165,15,131
"Subject 20",6069,1647,6397,0,2289,226,122,630,654,2,3,86,0,0,497,0,229,163,493,92,98,15,0,17,4,67,680,44,1215
"Subject 21",9640,979,1099,3,1600,378,441,156,194,4,3,278,1,0,1267,0,160,94,384,175,877,3,0,4,0,9,529,16,658
"Subject 22",9964,1270,592,97,673,333,1916,361,307,162,20,1006,5,0,941,0,1,218,52,7,0,0,2,38,7,38,0,17,589
"Subject 23",2984,2602,944,67,1209,379,1023,638,1823,340,0,137,6,0,2470,0,0,59,89,0,0,0,11,201,3,228,0,28,1640
"Subject 24",6207,2446,1097,130,616,311,1156,792,1071,143,0,543,1,1,1273,0,0,57,112,0,0,0,6,161,3,115,0,77,1049
"Subject 25",4749,3104,8931,20448,1716,1095,901,575,1048,221,2829,284,158,0,527,0,3291,513,155,0,0,395,23,196,2,940,0,23,1273
"Subject 26",5531,1671,4762,9924,617,1279,2074,465,462,322,8793,322,430,0,113,0,3037,818,283,0,0,323,32,117,1,542,0,25,1312
"Subject 27",4103,2880,7320,25175,2097,1411,743,575,858,223,705,95,276,0,904,0,1079,190,1985,0,0,580,20,178,1,1206,0,95,2357
